center,left,right,steering,throttle,brake,speed
/Users/Luke_MacBook/Downloads/CarND-Behavioral-Cloning-P3/data/IMG/center_2016_12_01_13_30_48_287.jpg, /Users/Luke_MacBook/Downloads/CarND-Behavioral-Cloning-P3/data/IMG/left_2016_12_01_13_30_48_287.jpg, /Users/Luke_MacBook/Downloads/CarND-Behavioral-Cloning-P3/data/IMG/right_2016_12_01_13_30_48_287.jpg, 0, 0, 0, 22.14829
/Users/Luke_MacBook/Downloads/CarND-Behavioral-Cloning-P3/data/IMG/center_2016_12_01_13_30_48_404.jpg, /Users/Luke_MacBook/Downloads/CarND-Behavioral-Cloning-P3/data/IMG/left_2016_12_01_13_30_48_404.jpg, /Users/Luke_MacBook/Downloads/CarND-Behavioral-Cloning-P3/data/IMG/right_2016_12_01_13_30_48_404.jpg, 0, 0, 0, 21.87963
/Users/Luke_MacBook/Downloads/CarND-Behavioral-Cloning-P3/data/IMG/center_2016_12_01_13_31_12_937.jpg, /Users/Luke_MacBook/Downloads/CarND-Behavioral-Cloning-P3/data/IMG/left_2016_12_01_13_31_12_937.jpg, /Users/Luke_MacBook/Downloads/CarND-Behavioral-Cloning-P3/data/IMG/right_2016_12_01_13_31_12_937.jpg, 0, 0, 0, 1.453011
/Users/Luke_MacBook/Downloads/CarND-Behavioral-Cloning-P3/data/IMG/center_2016_12_01_13_31_13_037.jpg, /Users/Luke_MacBook/Downloads/CarND-Behavioral-Cloning-P3/data/IMG/left_2016_12_01_13_31_13_037.jpg, /Users/Luke_MacBook/Downloads/CarND-Behavioral-Cloning-P3/data/IMG/right_2016_12_01_13_31_13_037.jpg, 0, 0, 0, 1.438419
/Users/Luke_MacBook/Downloads/CarND-Behavioral-Cloning-P3/data/IMG/center_2016_12_01_13_31_13_177.jpg, /Users/Luke_MacBook/Downloads/CarND-Behavioral-Cloning-P3/data/IMG/left_2016_12_01_13_31_13_177.jpg, /Users/Luke_MacBook/Downloads/CarND-Behavioral-Cloning-P3/data/IMG/right_2016_12_01_13_31_13_177.jpg, 0, 0, 0, 1.418236
/Users/Luke_MacBook/Downloads/CarND-Behavioral-Cloning-P3/data/IMG/center_2016_12_01_13_31_13_279.jpg, /Users/Luke_MacBook/Downloads/CarND-Behavioral-Cloning-P3/data/IMG/left_2016_12_01_13_31_13_279.jpg, /Users/Luke_MacBook/Downloads/CarND-Behavioral-Cloning-P3/data/IMG/right_2016_12_01_13_31_13_279.jpg, 0, 0, 0, 1.403993
/Users/Luke_MacBook/Downloads/CarND-Behavioral-Cloning-P3/data/IMG/center_2016_12_01_13_31_13_381.jpg, /Users/Luke_MacBook/Downloads/CarND-Behavioral-Cloning-P3/data/IMG/left_2016_12_01_13_31_13_381.jpg, /Users/Luke_MacBook/Downloads/CarND-Behavioral-Cloning-P3/data/IMG/right_2016_12_01_13_31_13_381.jpg, 0, 0, 0, 1.389892
/Users/Luke_MacBook/Downloads/CarND-Behavioral-Cloning-P3/data/IMG/center_2016_12_01_13_31_13_482.jpg, /Users/Luke_MacBook/Downloads/CarND-Behavioral-Cloning-P3/data/IMG/left_2016_12_01_13_31_13_482.jpg, /Users/Luke_MacBook/Downloads/CarND-Behavioral-Cloning-P3/data/IMG/right_2016_12_01_13_31_13_482.jpg, 0, 0, 0, 1.375934
/Users/Luke_MacBook/Downloads/CarND-Behavioral-Cloning-P3/data/IMG/center_2016_12_01_13_31_13_584.jpg, /Users/Luke_MacBook/Downloads/CarND-Behavioral-Cloning-P3/data/IMG/left_2016_12_01_13_31_13_584.jpg, /Users/Luke_MacBook/Downloads/CarND-Behavioral-Cloning-P3/data/IMG/right_2016_12_01_13_31_13_584.jpg, 0, 0, 0, 1.362115
/Users/Luke_MacBook/Downloads/CarND-Behavioral-Cloning-P3/data/IMG/center_2016_12_01_13_31_13_686.jpg, /Users/Luke_MacBook/Downloads/CarND-Behavioral-Cloning-P3/data/IMG/left_2016_12_01_13_31_13_686.jpg, /Users/Luke_MacBook/Downloads/CarND-Behavioral-Cloning-P3/data/IMG/right_2016_12_01_13_31_13_686.jpg, 0, 0, 0, 1.348435
